"","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021"
"1153","111578A","111578","1196",0.9,2.3,"QURU",NA,"Log","Log",NA,"3",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
"1154","112005A","112005","11105",7.9,9,"QUCO2",NA,"Log","Log",NA,"4",4,NA,NA,NA,NA,49.7,NA,NA,NA,NA,NA,21,NA,NA,NA,NA
"1155","112030A","112030","11106",2,5.3,"COFL2",NA,"Snag",NA,NA,"3",NA,NA,NA,NA,NA,10.7,10.1,NA,NA,NA,NA,NA,NA,NA,4,NA
"1156","130054A","130054","1332",1.4,2.4,"LIST2",NA,"Snag","Snag",NA,"1",3,NA,NA,NA,NA,15.7,15.8,16.4,NA,NA,NA,NA,NA,NA,7,NA
"1157","130211A","130211","1313",2,0.4,"LIST2",NA,"Snag","Log",NA,"2",4,NA,NA,7.3,NA,13.3,13.1,NA,NA,10.2,NA,NA,3.5,NA,5,NA
"1158","130346A","130346","1312",4.8,7.8,"LIST2",NA,"Snag","Log",NA,"3",3,NA,NA,10.9,NA,14.7,13.2,13,NA,13.7,NA,NA,3,NA,6,NA
"1159","130346A","130346","1312",4.8,7.8,"LIST2",NA,NA,"Log",NA,NA,3,NA,NA,8.5,NA,NA,NA,13,NA,10.5,NA,NA,3,NA,NA,NA
"1160","130348A","130348","1312",8.4,9.7,"ULRU",NA,"Snag",NA,NA,"3",NA,NA,NA,NA,NA,11.2,10.7,NA,NA,NA,NA,NA,NA,NA,5.5,NA
"1161","130408A","130408","1321",9.7,2.1,"ULRU",NA,"Log","Log",NA,"2",3,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"1162","130428A","130428","1321",2.8,6.4,"LIST2",NA,"Stump",NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1163","130480A","130480","1323",4.5,4,"ULRU",NA,"Snag","Log",NA,"3",3,NA,9.3,10.6,NA,14.3,14.1,14,NA,13.9,NA,NA,4,NA,5,NA
"1164","130896A","130896","13110",5.8,9.1,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,49.8,49.2,48.9,NA,NA,NA,NA,NA,NA,15,NA
"1165","130938A","130938","1311",9.7,1.3,"LIST2",NA,"Snag","Snag",NA,"2",3,NA,NA,NA,NA,16.5,15.7,15.8,NA,NA,NA,NA,NA,NA,7,NA
"1166","131163B","131163","1363",9.5,1.9,"LIST2",NA,"Log","Log",NA,"3",2,NA,NA,NA,NA,60.2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
"1167","131163A","131163","1363",9.5,1.9,"LIST2",NA,"Snag","Snag",NA,"3",3,NA,NA,NA,NA,60.2,60.3,57.8,NA,NA,NA,NA,NA,NA,12,NA
"1168","131260A","131260","1354",6.9,10,"LITU",NA,"Log","Log",NA,"3",5,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"1169","131291B","131291","1357",0.6,8.5,"CAGL8",NA,"Log","Log",NA,"4",4,NA,NA,NA,NA,32.9,NA,NA,NA,NA,NA,17,NA,NA,NA,NA
"1170","132233A","132233","1393",5.3,9.7,"AIAL",NA,"Log",NA,NA,"4",NA,NA,NA,NA,NA,12.3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"1171","132233B","132233","1393",5.3,9.7,"AIAL",NA,"Log",NA,NA,"4",NA,NA,NA,NA,NA,12.3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"1172","132429A","132429","13101",5.7,6.1,"AIAL",NA,"Snag","Log",NA,"3",3,NA,NA,NA,NA,26.8,26.9,26.7,NA,NA,NA,NA,NA,NA,10.6,NA
"1173","132436A","132436","13101",4.7,4.8,"AIAL",NA,"Log","Log",NA,"2",3,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"1174","132436B","132436","13101",4.7,4.8,"AIAL",NA,"Log","Log",NA,"2",4,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"1175","132445A","132445","13101",3.4,6.7,"AIAL",NA,"Snag","Snag",NA,"2",2,NA,NA,NA,NA,23.9,24.3,24.5,NA,NA,NA,NA,NA,NA,16.8,NA
"1176","132472B","132472","13102",9.5,4.4,"LITU",NA,"Log","Log",NA,"4",5,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"1177","133036A","133036","13910",9.8,0.5,"CACA18",NA,"Snag","Log",NA,"3",5,NA,NA,NA,NA,11.2,10.1,NA,NA,NA,NA,NA,NA,NA,4,NA
"1178","134046B","134046","1398",0.8,5.2,"LITU",NA,"Log","Log",NA,"4",2,NA,NA,NA,NA,86.5,NA,NA,NA,NA,NA,14,NA,NA,NA,NA
"1179","134046A","134046","1398",0.8,5.2,"LITU",NA,"Snag","Snag",NA,"3",2,NA,49.8,NA,NA,86.5,82,79.1,NA,NA,NA,NA,NA,NA,7,NA
"1180","140029A","140029","1423",0.4,0.5,"FRPE",NA,"Snag","Snag",NA,"2",2,NA,NA,NA,NA,42.6,44.8,44.3,NA,NA,NA,NA,NA,NA,26,4
"1181","140029A","140029","1423",0.4,0.5,"FRPE",NA,"Snag","Log",NA,NA,2,NA,NA,14.5,NA,NA,NA,44.3,NA,39,NA,21.5,NA,NA,NA,NA
"1182","140031A","140031","1423",2.8,1,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,12.8,12.6,12.6,NA,NA,NA,NA,NA,NA,4,NA
"1183","140032A","140032","1423",2.8,1,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,20.2,21.2,21.1,NA,NA,NA,NA,NA,NA,13,NA
"1184","140035A","140035","1423",6.4,7.2,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,59,60.2,59.8,NA,NA,NA,NA,NA,NA,26.2,NA
"1185","140037A","140037","1423",4.1,9,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,37.1,37.6,37.8,NA,28,NA,NA,NA,NA,18.2,2
"1186","140037A","140037","1423",4.1,9,"FRPE",NA,NA,"Log",NA,NA,2,NA,NA,14.2,NA,NA,NA,37.8,NA,33.9,NA,NA,22.6,NA,NA,NA
"1187","140045A","140045","1424",1.5,5.2,"FRPE",NA,"Log","Log",NA,"1",3,NA,NA,NA,NA,25.7,NA,23,NA,NA,NA,13,NA,NA,NA,NA
"1188","140048A","140048","1424",4.1,7.2,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,21.6,22.1,21.8,NA,NA,NA,NA,NA,NA,15,NA
"1189","140055A","140055","1425",1.5,1.8,"ULRU",NA,"Snag","Log",NA,"3",3,NA,NA,7.4,NA,12.6,12.4,11.8,NA,11.9,NA,NA,5,NA,4.5,NA
"1190","140057A","140057","1435",0,0.7,"FRPE",NA,"Snag","Log",NA,"3",3,NA,NA,44.3,NA,61.4,59,NA,NA,51.3,NA,NA,6,NA,7,NA
"1191","140058A","140058","1435",0,0.7,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,61.6,57.8,63.8,NA,NA,NA,NA,NA,NA,20.2,NA
"1192","140075A","140075","1426",10,0.2,"ACRU",NA,"Snag","Log",NA,"3",3,NA,NA,23.9,NA,27.7,27.7,27.5,NA,24.5,NA,NA,2,NA,10,NA
"1193","140077A","140077","1426",5.4,4.9,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,58.1,58.8,58.7,NA,NA,NA,NA,NA,NA,18,NA
"1194","140078A","140078","1426",5.4,4.9,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,53.4,53.7,52,NA,NA,NA,NA,NA,NA,13,NA
"1195","140097A","140097","1427",4.5,2,"FRPE",NA,"Snag","Snag",NA,"1",3,NA,NA,NA,NA,49.5,49.4,49,NA,NA,NA,NA,NA,NA,18,NA
"1196","140114A","140114","1412",2.1,9.5,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,47.3,46.7,48.9,NA,NA,NA,NA,NA,NA,15.6,NA
"1197","140116A","140116","1413",3.2,1.1,"ULRU",NA,"Snag",NA,NA,"2",NA,NA,NA,NA,NA,16.1,16.7,16.1,NA,NA,NA,NA,NA,NA,5,NA
"1198","140121A","140121","1413",10.1,3.6,"FRPE",NA,"Snag","Log",NA,"1",3,NA,NA,NA,NA,31,30,31.3,NA,NA,NA,NA,NA,NA,11.4,NA
"1199","140128A","140128","1413",0.8,7.7,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,40.3,40.5,41.4,NA,NA,NA,NA,NA,NA,12.8,NA
"1200","140132A","140132","1414",2.3,2.6,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,28.4,28.6,28.9,NA,NA,NA,NA,NA,NA,15,2
"1201","140148A","140148","1414",3.4,7,"FRPE",NA,"Snag","Snag",NA,"1",3,NA,NA,NA,NA,55.6,56.5,56.4,NA,NA,NA,NA,NA,NA,20,NA
"1202","140148A","140148","1414",3.4,7,"FRPE",NA,NA,"Log",NA,NA,3,NA,NA,33,NA,NA,NA,56.4,NA,38.6,NA,NA,11.7,NA,NA,NA
"1203","140174A","140174","1415",10.1,3.4,"FRPE",NA,"Snag","Snag",NA,"1",1,NA,NA,NA,NA,30.2,31.8,NA,NA,NA,NA,NA,NA,NA,17,NA
"1204","140193A","140193","1415",2.2,9.5,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,69.1,70.3,69.4,NA,NA,NA,NA,NA,NA,20,NA
"1205","140201A","140201","1431",0.3,0.7,"ACRU",NA,"Snag",NA,NA,"2",NA,NA,NA,NA,NA,19.2,19.3,NA,NA,NA,NA,NA,NA,NA,10.6,NA
"1206","140247A","140247","1434",2.5,3.6,"FRPE",NA,"Snag","Snag",NA,"1",1,NA,NA,NA,NA,26,26.8,26.5,NA,NA,NA,NA,NA,NA,17,NA
"1207","140253A","140253","1435",8.9,9.2,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,29.8,30.6,NA,NA,NA,NA,NA,NA,NA,21.2,6
"1208","140253A","140253","1435",NA,NA,"FRPE",NA,NA,"Log",NA,NA,2,NA,NA,19.2,NA,NA,NA,NA,NA,25,NA,NA,11.2,NA,NA,NA
"1209","140283A","140283","14210",9,9,"ACRU",NA,"Snag","Log",NA,"2",3,NA,NA,22.7,NA,34.8,33,32.6,NA,32.6,NA,NA,3.5,NA,7,NA
"1210","140342A","140342","1428",9.3,3.6,"ULRU",NA,"Snag","Log",NA,"3",3,NA,NA,18.1,NA,23.7,22.6,21.7,NA,20.4,NA,NA,5,NA,5.5,NA
"1211","140343A","140343","1428",8.9,3.9,"ULRU",NA,"Stump",NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1212","140427A","140427","1416",7.3,3.4,"ULRU",NA,"Snag","Log",NA,"3",3,NA,NA,16.9,NA,25.4,25,24.5,NA,23.1,NA,NA,10.4,NA,8,NA
"1213","140468A","140468","1417",9.7,3.9,"ULRU",NA,"Log","Log",NA,"3",4,NA,NA,NA,NA,24.4,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"1214","140486A","140486","1418",3.5,8.3,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,47.7,49.9,50,NA,NA,NA,NA,NA,NA,18,NA
"1215","140623A","140623","1436",1.8,5.5,"ULRU",NA,"Snag","Log",NA,"4",4,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"1216","140625A","140625","1436",0.3,9.4,"PLOC",NA,"Snag","Log",NA,"4",5,NA,NA,NA,NA,28.4,28.1,27.2,NA,NA,NA,NA,NA,NA,2,NA
"1217","141126A","141126","1443",2.7,0.7,"FRPE",NA,"Log","Log",NA,"1",2,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,16,NA,NA,NA,NA
"1218","141322B","141322","1459",1.2,4.5,"QUPA2",NA,"Log","Log",NA,"3",3,NA,NA,NA,NA,84.1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"1219","141585A","141585","1463",4.5,7.1,"LIST2",NA,"Snag","Snag",NA,"1",1,NA,NA,NA,NA,29,29.2,28.9,NA,NA,NA,NA,NA,NA,13,NA
"1220","142020A","142020","14104",4.4,3.3,"LITU",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,21.2,21.1,21,NA,NA,NA,NA,NA,NA,19.8,NA
"1221","142037A","142037","14105",0.5,8.9,"LIST2",NA,"Log","Log",NA,"3",3,NA,NA,NA,NA,22.6,NA,NA,NA,NA,NA,13,NA,NA,NA,NA
"1222","142197A","142197","1498",8.2,7.1,"LIST2",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,17.1,16.9,16.7,NA,NA,NA,NA,NA,NA,8,NA
"1223","142388A","142388","14910",9.5,5.6,"LITU",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,19.1,18.9,18.7,NA,NA,NA,NA,NA,NA,8,NA
"1224","142404A","142404","1498",0.6,9.4,"COFL2",NA,"Snag","Log",NA,"2",2,NA,NA,NA,NA,12,11.1,10.5,NA,NA,NA,NA,NA,NA,6,NA
"1225","142524A","142524","14108",2.8,7.1,"LIST2",NA,"Snag","Log",NA,"2",3,NA,NA,NA,NA,26.8,27.1,26.6,NA,NA,NA,NA,NA,NA,12,NA
"1226","142541A","142541","14109",7.2,3,"PIVI2",NA,"Log","Log",NA,"4",3,NA,NA,NA,NA,42.5,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
"1227","142738A","142738","1475",0.2,9.2,"ULRU",NA,"Snag","Log",NA,"2",4,NA,13.4,NA,NA,14.5,14.5,14.2,NA,NA,NA,NA,NA,NA,2,NA
"1228","142752A","142752","1473",1.4,4.2,"CATO6",NA,"Log","Log",NA,"1",2,NA,NA,NA,NA,46.5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"1229","150005A","150005","15101",7.6,5,"LITU",NA,"Snag","Log",NA,"2",4,NA,NA,NA,NA,12.7,12.4,NA,NA,NA,NA,NA,NA,NA,13.6,NA
"1230","150202B","150202","1592",3.5,3.5,"FAGR",NA,"Log","Log",NA,"1",2,NA,NA,NA,NA,55.8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"1231","150202A","150202","1592",3.5,3.5,"FAGR",NA,"Snag","Snag",NA,"1",2,NA,45.2,NA,NA,55.8,56.1,55.4,NA,NA,NA,NA,NA,NA,2,NA
"1232","150206B","150206","1583",8,7.6,"QURU",NA,"Log","Log",NA,"2",3,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"1233","150206A","150206","1592",8,7.6,"QURU",NA,"Log","Log",NA,"2",4,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"1234","150265A","150265","15108",6.8,6.1,"LIST2",NA,"Log","Log",NA,"1",2,NA,NA,NA,NA,33.5,NA,34.3,NA,NA,NA,27,NA,NA,NA,NA
"1235","150441A","150441","1573",4.9,3.6,"ACRU",NA,"Snag","Log",NA,"4",4,NA,NA,NA,NA,44.8,43.8,NA,NA,NA,NA,NA,NA,NA,5.5,NA
"1236","150516A","150516","1561",5.8,3.7,"ULRU",NA,"Snag","Log",NA,"2",2,NA,NA,NA,NA,12.7,12.3,NA,NA,NA,NA,NA,NA,NA,3.9,NA
"1237","150704A","150704","1567",9.9,6.4,"ULRU",NA,"Snag","Snag",NA,"3",2,NA,NA,NA,NA,12,11.9,12,NA,NA,NA,NA,NA,NA,6.5,NA
"1238","151020A","151020","1575",8.7,3.8,"ACRU",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,39.7,39.7,39.2,NA,NA,NA,NA,NA,NA,17,2.3
"1239","151020A","151020","1575",8.7,3.8,"ACRU",NA,NA,NA,NA,NA,2,NA,NA,23.2,NA,NA,NA,39.2,NA,33.7,NA,NA,8.3,NA,NA,NA
"1240","151258A","151258","1557",2.7,1,"ULRU",NA,"Snag","Snag",NA,"2",2,NA,NA,NA,NA,18.8,16.3,18,NA,NA,NA,NA,NA,NA,4,NA
"1241","151401A","151401","1517",9.6,8.9,"ULAM",NA,"Snag","Snag",NA,"2",2,NA,NA,NA,NA,27.9,30.4,31,NA,NA,NA,NA,NA,NA,9.2,NA
"1242","151405A","151405","15110",4.5,0.2,"ULAM",NA,"Snag","Log",NA,"3",5,NA,NA,NA,NA,23.9,23.7,NA,NA,NA,NA,NA,NA,NA,5,NA
"1243","151529A","151529","15410",8.2,8,"ULRU",NA,"Log","Log",NA,"3",4,NA,NA,NA,NA,23.6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"1244","151530A","151530","15410",8.2,8,"ULRU",NA,"Snag","Log",NA,"3",4,NA,NA,NA,NA,12,22.3,NA,NA,NA,NA,NA,NA,NA,3.5,NA
"1245","151573A","151573","1566",2.5,1.8,"ULRU",NA,"NF",NA,NA,NA,NA,NA,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1246","151599A","151599","1566",7.1,4.8,"ULRU",NA,"Log","Log",NA,"2",3,NA,NA,NA,NA,14.8,NA,13.9,NA,NA,NA,11,NA,NA,NA,NA
"1247","151651A","151651","1533",4.8,5.3,"ACRU",NA,"Log","Log",NA,"3",4,NA,NA,NA,NA,103.2,NA,NA,NA,NA,NA,19,NA,NA,NA,NA
"1248","152032A","152032","1535",5,9.7,"ULRU",NA,"NF","Log",NA,NA,5,NA,NA,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1249","152263A","152263","1525",7.5,8,"ULRU",NA,"Consumed",NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1250","152518A","152518","15710",3.9,4.4,"LITU",NA,"Snag","Snag",NA,"3",2,NA,NA,NA,NA,23.7,23.5,22.7,NA,NA,NA,NA,NA,NA,17,NA
"1251","152539A","152539","15710",4.3,1.3,"LITU",NA,"Snag","Snag",NA,"3",3,NA,NA,NA,NA,47,47.1,NA,NA,NA,NA,NA,NA,NA,20.6,1.5
"1252","152539A","152539","15710",4.3,1.3,"LITU",NA,NA,"Log",NA,NA,3,NA,NA,29.2,NA,NA,NA,NA,NA,38.4,NA,NA,15.2,NA,NA,NA
"1253","152552A","152552","1542",6.8,3.9,"ACRU",NA,"Snag","Snag",NA,"2",2,NA,NA,NA,NA,27.5,27.6,NA,NA,NA,NA,NA,NA,NA,8,NA
"1254","152643A","152643","1531",0.3,5.5,"ULRU",NA,"Snag","Snag",NA,"2",2,NA,NA,NA,NA,38.5,38.7,37.4,NA,NA,NA,NA,NA,NA,8.5,NA
"1255","152937A","152937","1568",3.7,8.9,"ULRU",NA,"Snag","Snag",NA,"3",2,NA,NA,NA,NA,20.5,21.5,19.3,NA,NA,NA,NA,NA,NA,7,NA
"1256","160170A","160170","1693",9.5,3.2,"PIVI2",NA,"Snag","Log",NA,"2",2,NA,NA,NA,NA,11.5,11.2,NA,NA,NA,NA,NA,NA,NA,8.6,NA
"1257","160281A","160281","1698",1.9,5.2,"QUAL",NA,"Snag","Snag",NA,"3",3,NA,NA,NA,NA,69.9,66.1,65.2,NA,NA,NA,NA,NA,NA,7.2,NA
"1258","160499A","160499","1664",4,4.5,"QUAL",NA,"Snag","Snag",NA,"4",4,NA,NA,NA,NA,29.8,29.6,29.5,NA,NA,NA,NA,NA,NA,5.4,NA
"1259","160517B","160517","1685",2.3,10,"QUVE",NA,"Log","Log",NA,"1",2,NA,NA,NA,NA,71.7,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
"1260","160517A","160517","1685",2.3,10,"QUVE",NA,"Snag","Snag",NA,"1",3,NA,52,NA,NA,71.7,72.3,71.3,NA,NA,NA,NA,NA,NA,7,NA
"1261","160653A","160653","1677",0.4,5.6,"LITU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262","160571A","160571","1643",NA,NA,"PLOC",NA,NA,"Log",NA,NA,3,NA,NA,46.2,NA,NA,NA,NA,NA,50.9,NA,NA,10.2,NA,NA,NA
"1263","161410A","161410","1674",6.9,2.9,"LITU",NA,"Snag","Log",NA,"3",4,NA,NA,NA,NA,10.8,10.6,NA,NA,NA,NA,NA,NA,NA,7.6,NA
"1264","161427A","161427","1674",4.9,9.1,"LITU",NA,"Snag","Snag",NA,"1",2,NA,20,NA,NA,20.9,20.2,21,NA,NA,NA,NA,NA,NA,2,NA
"1265","161429A","161429","1674",4,9.8,"LITU",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,16.8,16.5,NA,NA,NA,NA,NA,NA,NA,10,NA
"1266","161441A","161441","1623",6,4.3,"CACA18",NA,"Log",NA,NA,"4",NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"1267","161938A","161938","1612",12.1,3.4,"LIST2",NA,"Stump",NA,NA,NA,NA,NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1268","162074A","162074","1614",8.7,7.1,"LIST2",NA,"Snag","Log",NA,"2",3,NA,NA,41.2,NA,78.4,75.9,79.1,NA,71.7,NA,NA,16.8,NA,20.6,NA
"1269","162491A","162491","1678",4.8,8.9,"FAGR",NA,"Consumed",NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1270","162608A","162608","1657",5.8,6.4,"ULAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1271","162609A","162609","1657",5.8,6.4,"ULAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1272","162701A","162701","1679",7.9,1.3,"FAGR",NA,"Consumed",NA,NA,NA,NA,NA,NA,NA,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1273","162707A","162707","1679",10,9.1,"ULAM",NA,"Consumed",NA,NA,NA,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1274","162748A","162748","1669",0.4,1.6,"PLOC",NA,"Log","Log",NA,"1",3,NA,NA,NA,NA,82.4,NA,NA,NA,NA,NA,15,NA,NA,NA,NA
"1275","162991A","162991","1693",0.4,4.6,"PITA",NA,"Snag","Log",NA,"2",2,NA,NA,NA,NA,17.3,17.3,NA,NA,NA,NA,NA,NA,NA,15,NA
"1276","10114A","10114","113",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA
"1277","11140A","11140","113",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,NA,NA,NA,NA,NA,NA,NA,NA
"1278","10116A","10116","114",NA,NA,"FRPE",NA,NA,"Snag",NA,NA,2,NA,NA,NA,NA,NA,NA,15.8,NA,14.3,NA,NA,NA,NA,NA,7
"1279","10118A","10118","114",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA
"1280","10003A","10003","121",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4,NA,NA,NA,NA,NA,NA,NA,NA
"1281","10006A","10006","122",NA,NA,"ACRU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA
"1282","10297A","10297","122",NA,NA,"FRPE",NA,NA,"Snag",NA,NA,2,NA,NA,NA,NA,NA,NA,26.2,NA,26.6,NA,NA,NA,NA,NA,7
"1283","10299A","10299","122",NA,NA,"FRPE",NA,NA,"Snag",NA,NA,2,NA,NA,NA,NA,NA,NA,28.2,NA,25.4,NA,NA,NA,NA,NA,4
"1284","10206A","10206","132",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA
"1285","10208A","10208","132",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA
"1286","10209A","10209","132",NA,NA,"FRPE",NA,NA,"Snag",NA,NA,2,NA,NA,NA,NA,NA,NA,19,NA,17.7,NA,NA,NA,NA,NA,6
"1287","11177A","11177","133",NA,NA,"FRPE",NA,NA,"Snag",NA,NA,2,NA,NA,NA,NA,NA,NA,28.3,NA,28.8,NA,NA,NA,NA,NA,15
"1288","10215A","10215","134",NA,NA,"FRPE",NA,NA,"Snag",NA,NA,1,NA,NA,NA,NA,NA,NA,36,NA,37.2,NA,NA,NA,NA,NA,18
"1289","10218A","10218","134",NA,NA,"FRPE",NA,NA,"Snag",NA,NA,2,NA,NA,NA,NA,NA,NA,25.8,NA,24.4,NA,NA,NA,NA,NA,15
"1290","10223A","10223","135",NA,NA,"QUPA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA
"1291","10315A","10315","142",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,NA,NA,NA,NA,NA,NA,NA,NA
"1292","10324A","10324","144",NA,NA,"QUPA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA
"1293","10351A","10351","147",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA
"1294","10359A","10359","147",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
"1295","10360A","10360","148",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA
"1296","10433A","10433","154",NA,NA,"LIST2",NA,NA,"Snag",NA,NA,1,NA,NA,NA,NA,NA,NA,31,NA,31,NA,NA,NA,NA,NA,12
"1297","10435A","10435","154",NA,NA,"FRPE",NA,NA,"Snag",NA,NA,1,NA,NA,NA,NA,NA,NA,15.6,NA,15.7,NA,NA,NA,NA,NA,10
"1298","10442A","10442","154",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
"1299","10638A","10638","166",NA,NA,"FRPE",NA,NA,"Snag",NA,NA,1,NA,NA,NA,NA,NA,NA,20.7,NA,20.8,NA,NA,NA,NA,NA,12
"1300","10639A","10639","166",NA,NA,"FRPE",NA,NA,"Snag",NA,NA,2,NA,NA,NA,NA,NA,NA,13.8,NA,13.9,NA,NA,NA,NA,NA,7
"1301","10643A","10643","167",NA,NA,"FRPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA
